MFI.Name,Fiscal.Year,Period.Type,As.of.Date,Gross.Loan.Portfolio,Cash.and.cash.equivalents,Net.loan.portfolio,Other.assets,Liabilities.and.equity,Net.fixed.assets,Assets,Average.assets
Equity Bank KEN,2016,ANN,2016-12-31 00:00:00 UTC,2169052769,1323061329,2091621483,173731031,3715016592,126602749,3715016592,3560464169
Equity Bank KEN,2017,ANN,2017-12-31 00:00:00 UTC,2139167502,469677667,2044252304,1362136505,3934196379,58129903,3934196379,3850646442
Family Bank KEN,2013,ANN,2013-12-31 00:00:00 UTC,334669046,85530457,323231463,74719479,503192458,19711058,503192458,12033658.5
Family Bank KEN,2014,ANN,2014-12-31 00:00:00 UTC,433161459,209222586,418464923,31392938,682033135,22952687,682033135,592612796
Family Bank KEN,2015,ANN,2015-12-31 00:00:00 UTC,560479023,182481113,545448066,30011250,792873184,34932754,792873184,737453159
Family Bank KEN,2016,ANN,2016-12-31 00:00:00 UTC,514032127,104523097,490741098,38935932,679244512,45044385,679244512,736058848
Family Bank KEN,2017,ANN,2017-12-31 00:00:00 UTC,444621278,153237280,420831104,54872875,668450561,39509303,668450561,673847537
Family Bank KEN,2018,ANN,2018-12-31 00:00:00 UTC,6066943,61651781,432948209,129145225,657680489,33935273,657680489,663065525
Faulu MFB,2012,ANN,2012-12-31 00:00:00 UTC,58681069,13389710,57481974,9211765,88707038,8623589,88707038,74093140
Faulu MFB,2013,ANN,2013-12-31 00:00:00 UTC,102560995,15504905,100924407,18961955,143833441,8442175,143833441,110830752
Faulu MFB,2014,ANN,2014-12-31 00:00:00 UTC,161568984,30276123,159863037,19000419,224207856,15068278,224207856,200608311
Faulu MFB,2015,ANN,2015-12-31 00:00:00 UTC,164381987,55369869,161950019,10400495,245620019,17899635,245620019,238880797
Faulu MFB,2016,ANN,2016-12-31 00:00:00 UTC,179847803,55464227,175650350,17907256,270704458,21682625,270704458,263443234
Faulu MFB,2017,ANN,2017-12-31 00:00:00 UTC,167260745,45377244,164161607,14309434,247920796,24072511,247920796,258459726
Faulu MFB,2018,ANN,2018-12-31 00:00:00 UTC,188247355,39451742,166206242,47661930,267199293,13879380,267199293,254365864
Greenland Fedha,2017,ANN,2018-06-30 00:00:00 UTC,47951637,373274,47951637,2051359,50519514,143244,50519514,46878075
Greenland Fedha,2018,ANN,2019-06-30 00:00:00 UTC,48710792,690108,44900723,3593099,49324536,140606,49324536,54922525
Jamii Bora,2013,ANN,2013-12-31 00:00:00 UTC,6066943,15446686,44067126,16731938,81091058,4845309,81091058,40579938
Jamii Bora,2015,ANN,2015-12-31 00:00:00 UTC,6066943,21977031,99176699,27385508,163878164,15338926,163878164,12033658.5
Jamii Bora,2016,ANN,2016-12-31 00:00:00 UTC,97487400,26890227,91532684,31503874,153827578,3900792,153827578,158852871
Jamii Bora,2017,ANN,2017-12-31 00:00:00 UTC,86436922,12559758,80454773,28531801,124402652,2856350,124402652,139115115
Juhudi Kilimo,2012,ANN,2012-12-31 00:00:00 UTC,4130963,897825,4015799,3309480,5446761,71041,5446761,4499472
Juhudi Kilimo,2013,ANN,2013-12-31 00:00:00 UTC,5754430,802113,5632657,2755139,9376850,186941,9376850,7059579
Juhudi Kilimo,2014,ANN,2014-12-31 00:00:00 UTC,7269409,1009380,6966146,1262836,9417635,179274,9417635,9375036
